country, latitude, longitude
Tajikistan - Embassy, 55.7597003, 37.5860258
Tanzania - Embassy, 55.757904, 37.5862051
Thailand - Embassy, 55.739342, 37.5773683
Tunisia - Embassy, 55.7594515, 37.58414
Turkey - Embassy, 55.740972, 37.5719265
Turkmenistan - Embassy, 55.7505893, 37.5968433
Uganda - Embassy, 55.7286733, 37.613658
Ukraine - Embassy, 55.7607736, 37.6040406
United Arab Emirates - Embassy, 55.718621, 37.5119153
United Kingdom - Embassy, 55.750328, 37.5744763
United States - Embassy, 55.7560229, 37.576976
Uruguay - Embassy, 55.766225, 37.593172
Uzbekistan - Embassy, 55.7326689, 37.618813
Venezuela - Embassy, 55.7754582, 37.6206268
Vietnam - Embassy, 55.77547, 37.5850932
Yemen - Embassy, 55.7395235, 37.5807806
Zambia - Embassy, 55.782637, 37.6325522
Zimbabwe - Embassy, 55.72755, 37.6135472
