name,Snippet,description,longitude,latitude,altitude
Borisovo (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Borisovo_%28Moscow_Metro%29"">Borisovo (Moscow Metro)</a>",37.7436,55.6334,0
Borovitskaya (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Borovitskaya_%28Moscow_Metro%29"">Borovitskaya (Moscow Metro)</a>",37.6072,55.7511,0
Borovskoye Shosse,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Borovskoye_Shosse"">Borovskoye Shosse</a>",37.370186,55.647672,0
Botanichesky Sad (Kaluzhsko–Rizhskaya line),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Botanichesky_Sad_%28Kaluzhsko%E2%80%93Rizhskaya_line%29"">Botanichesky Sad (Kaluzhsko–Rizhskaya line)</a>",37.6383,55.8449,0
Botanichesky Sad (Moscow Central Circle),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Botanichesky_Sad_%28Moscow_Central_Circle%29"">Botanichesky Sad (Moscow Central Circle)</a>",37.6383,55.8456,0
Bratislavskaya (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Bratislavskaya_%28Moscow_Metro%29"">Bratislavskaya (Moscow Metro)</a>",37.7505,55.6597,0
Bulvar Admirala Ushakova,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Bulvar_Admirala_Ushakova"">Bulvar Admirala Ushakova</a>",37.543,55.5455,0
Bulvar Dmitriya Donskogo,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Bulvar_Dmitriya_Donskogo"">Bulvar Dmitriya Donskogo</a>",37.5769,55.5693,0
Bulvar Rokossovskogo (Moscow Central Circle),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Bulvar_Rokossovskogo_%28Moscow_Central_Circle%29"">Bulvar Rokossovskogo (Moscow Central Circle)</a>",37.7373,55.8172,0
Bulvar Rokossovskogo (Sokolnicheskaya line),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Bulvar_Rokossovskogo_%28Sokolnicheskaya_line%29"">Bulvar Rokossovskogo (Sokolnicheskaya line)</a>",37.7342,55.8148,0
Buninskaya Alleya,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Buninskaya_Alleya"">Buninskaya Alleya</a>",37.5158,55.538,0
